,category,movie_id,year,count,mean,std,type,gen,film,winner,budget,company,country,director,gross,rating,runtime,imdb_rating,star,imdb_votes_num,writer,imdb_genre,company_gross,director_gross,star_gross,writer_gross
16,3,16,1996,4209,3.687574245664053,0.9004857335531518,train,"['Drama', 'Romance']",Sense and Sensibility,1.0,16000000.0,Columbia Pictures Corporation,USA,Ang Lee,43182776.0,PG,136.0,7.7,Emma Thompson,84237.0,Jane Austen,Drama,2122049989.0,57562960.0,46425118.0,44184213.0
17,3,17,1996,7013,4.10409239982889,0.947420654601874,train,['Comedy'],Four Rooms,,4000000.0,Miramax,USA,Allison Anders,4301331.0,R,98.0,6.7,Tim Roth,83723.0,Allison Anders,Comedy,156035300.0,8915987.0,7628490.0,7570751.0
18,3,18,1996,821,3.3142509135200973,1.0597533446985556,train,['Comedy'],Ace Ventura: When Nature Calls,,30000000.0,Morgan Creek Productions,USA,Steve Oedekerk,108385533.0,PG-13,90.0,6.3,Jim Carrey,172305.0,Jack Bernstein,Adventure,501241511.0,108385533.0,427716617.0,180602533.0
19,1,19,1996,7914,2.6416477129138234,1.1323239721420184,train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",Money Train,,68000000.0,Columbia Pictures,USA,Joseph Ruben,35324232.0,R,110.0,5.6,Wesley Snipes,34091.0,Doug Richardson,Action,43348654.0,192748727.0,329275964.0,35324232.0
20,1,20,1996,1647,3.137826350941105,0.8844936007289591,train,"['Comedy', 'Crime', 'Thriller']",Get Shorty,,30250000.0,Metro-Goldwyn-Mayer (MGM),USA,Barry Sonnenfeld,72077000.0,R,105.0,6.9,Gene Hackman,66364.0,Elmore Leonard,Comedy,750369117.0,245495209.0,283539976.0,77263646.0
21,4,21,1995,1,3.0,,train,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",Copycat,,20000000.0,Regency Enterprises,USA,Jon Amiel,32051917.0,R,123.0,6.6,Sigourney Weaver,45066.0,Ann Biderman,Drama,0.0,53112837.0,168589726.0,0.0
22,3,22,1996,3889,3.5602982771920804,0.8302582234414755,train,"['Action', 'Crime', 'Thriller']",Assassins,,50000000.0,Warner Bros.,France,Richard Donner,30306268.0,R,132.0,6.3,Sylvester Stallone,67317.0,Lilly Wachowski,Action,4068025902.0,554110715.0,561711469.0,30306268.0
23,1,23,1996,1980,3.3181818181818183,0.9140820312483806,train,"['Drama', 'Sci-Fi']",Powder,,9500000.0,Caravan Pictures,USA,Victor Salva,30862146.0,PG-13,111.0,6.6,Mary Steenburgen,25582.0,Victor Salva,Drama,226116078.0,30862146.0,33275573.0,30862146.0
24,1,24,1996,1755,3.484900284900285,0.9909366523659308,train,"['Drama', 'Romance']",Leaving Las Vegas,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
25,3,25,1996,6475,3.7627799227799232,1.0469094786567672,train,['Drama'],Othello,0.0,11000000.0,Castle Rock Entertainment,USA,Oliver Parker,2112951.0,R,123.0,6.9,Laurence Fishburne,7965.0,Oliver Parker,Drama,607375331.0,2112951.0,33298594.0,2112951.0
26,3,26,1996,799,3.738423028785983,0.9341276692865136,train,"['Children', 'Drama']",Now and Then,,0.0,New Line Cinema,USA,Lesli Linka Glatter,27400000.0,PG-13,100.0,6.8,Christina Ricci,22719.0,I. Marlene King,Comedy,842844764.0,27400000.0,33429091.0,27400000.0
27,3,27,1996,628,3.5350318471337583,0.9195981538337172,train,"['Drama', 'Romance']",Persuasion,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
28,3,28,1996,954,4.034591194968553,0.9309071558474642,train,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","City of Lost Children, The (Cité des enfants perdus, La)",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
29,3,29,1996,692,4.0606936416184976,1.0132628923097975,train,"['Crime', 'Drama']",Shanghai Triad (Yao a yao yao dao waipo qiao),,,,,,,,,,,,,,0.0,0.0,0.0,0.0
30,3,30,1996,401,3.6807980049875315,0.9396038322591124,train,['Drama'],Dangerous Minds,,23000000.0,Hollywood Pictures,USA,John N. Smith,84919401.0,R,99.0,6.4,Michelle Pfeiffer,40880.0,LouAnne Johnson,Biography,1047027227.0,84919401.0,108355306.0,84919401.0
31,1,31,1996,4088,3.4549902152641883,0.8908800628718005,train,"['Mystery', 'Sci-Fi', 'Thriller']",Twelve Monkeys (a.k.a. 12 Monkeys),,,,,,,,,,,,,,0.0,0.0,0.0,0.0
32,3,32,1996,11035,3.8835523334843685,0.9149714785967864,train,"['Adventure', 'Romance', 'IMAX']",Wings of Courage,,0.0,Iwerks Entertainment,France,Jean-Jacques Annaud,15054389.0,G,50.0,6.5,Craig Sheffer,537.0,Alain Godard,Adventure,15054389.0,58860968.0,72154616.0,15054389.0
33,1,33,1996,10,3.1,0.5676462121975466,train,"['Children', 'Drama']",Babe,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
34,1,34,1996,11500,3.8843478260869566,0.9996165282964344,train,"['Drama', 'Romance']",Carrington,,0.0,PolyGram Filmed Entertainment,UK,Christopher Hampton,3242342.0,R,121.0,6.9,Emma Thompson,4621.0,Christopher Hampton,Biography,212487550.0,3242342.0,46425118.0,38282231.0
35,3,35,1996,727,3.665749656121045,0.950407456797258,train,"['Crime', 'Drama']",Dead Man Walking,1.0,11000000.0,Havoc,UK,Tim Robbins,39387284.0,R,122.0,7.6,Susan Sarandon,77349.0,Helen Prejean,Crime,39387284.0,43866754.0,244434642.0,39387284.0
36,3,36,1996,6071,4.112996211497282,0.8972302794992068,train,"['Documentary', 'IMAX']",Across the Sea of Time,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
37,1,37,1996,5,4.0,1.0,train,"['Children', 'Comedy']",It Takes Two,,0.0,United Artists,USA,David Beaird,344375.0,PG-13,81.0,5.7,George Newbern,519.0,Richard Christian Matheson,Comedy,359567523.0,5295608.0,344375.0,9615391.0
38,1,37,1996,5,4.0,1.0,train,"['Children', 'Comedy']",It Takes Two,,0.0,Dualstar Productions,USA,Andy Tennant,19474589.0,PG,101.0,5.8,Kirstie Alley,16200.0,Deborah Dean Davis,Comedy,19474589.0,19474589.0,37329519.0,19474589.0
39,1,38,1996,194,3.252577319587629,1.3167390072302447,train,"['Comedy', 'Romance']",Clueless,,12000000.0,Paramount Pictures,USA,Amy Heckerling,56631572.0,PG-13,97.0,6.8,Alicia Silverstone,136975.0,Amy Heckerling,Comedy,4303158120.0,244209459.0,56631572.0,244209459.0
40,3,39,1996,9279,3.440349175557712,0.9327883589070592,train,['Drama'],"Cry, the Beloved Country",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
41,3,40,1996,332,3.7921686746987953,0.9994857266046654,train,"['Drama', 'War']",Richard III,0.0,0.0,Mayfair Entertainment International,UK,Richard Loncraine,2600000.0,R,110.0,7.5,Ian McKellen,12218.0,William Shakespeare,Drama,2600000.0,2600000.0,2600000.0,57772851.0
42,3,41,1996,1418,3.8483779971791257,0.9483489606467932,train,"['Action', 'Crime', 'Drama']",Dead Presidents,,10000000.0,Caravan Pictures,USA,Albert Hughes,24200000.0,R,119.0,6.8,Larenz Tate,16395.0,Allen Hughes,Action,226116078.0,52100000.0,24200000.0,52100000.0
43,1,42,1996,648,3.162037037037037,0.8773168585760495,train,['Drama'],Restoration,2.0,19000000.0,Avenue Pictures,USA,Michael Hoffman,4100000.0,R,117.0,6.7,Robert Downey Jr.,7894.0,Rose Tremain,Biography,39074281.0,41307508.0,36153984.0,4100000.0
44,3,43,1996,600,3.56,0.906146696950328,train,"['Action', 'Adventure', 'Fantasy']",Mortal Kombat,,18000000.0,New Line Cinema,USA,Paul W.S. Anderson,70454098.0,PG-13,101.0,5.8,Christopher Lambert,87007.0,Ed Boon,Action,842844764.0,70454098.0,128829147.0,70454098.0
45,1,44,1996,3631,3.014596529881575,1.0458136911328697,train,"['Comedy', 'Drama', 'Thriller']",To Die For,,20000000.0,Columbia Pictures Corporation,USA,Gus Van Sant,21284514.0,R,106.0,6.8,Nicole Kidman,36974.0,Joyce Maynard,Comedy,2122049989.0,34125202.0,29109523.0,21284514.0
46,3,45,1996,3426,3.3724460011675417,0.952102384010259,train,"['Drama', 'Romance']",How to Make an American Quilt,,10000000.0,Universal Pictures,USA,Jocelyn Moorhouse,23574130.0,PG-13,117.0,6.2,Winona Ryder,9152.0,Whitney Otto,Comedy,3501692853.0,24098798.0,51670256.0,23574130.0
47,1,46,1996,1273,3.5216025137470544,0.8900462547481232,train,"['Mystery', 'Thriller']",Seven (a.k.a. Se7en),,,,,,,,,,,,,,0.0,0.0,0.0,0.0
48,4,47,1995,1,5.0,,train,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",Pocahontas,2.0,55000000.0,Walt Disney Pictures,USA,Mike Gabriel,141600000.0,G,81.0,6.7,Mel Gibson,133708.0,Carl Binder,Animation,1402388319.0,0.0,703577053.0,0.0
49,1,48,1996,4039,3.2230750185689527,0.9837724200293708,train,"['Drama', 'Romance']",When Night Is Falling,,0.0,Alliance Communications Corporation,Canada,Patricia Rozema,1194152.0,R,94.0,6.7,Pascale Bussières,5706.0,Patricia Rozema,Drama,10702248.0,1194152.0,1194152.0,1194152.0
50,4,49,1996,7,4.142857142857143,1.0690449676496976,train,"['Crime', 'Mystery', 'Thriller']","Usual Suspects, The",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
51,3,50,1996,10169,4.2958993017995875,0.8508245064428249,train,"['Action', 'Drama', 'Thriller']",Guardian Angel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
52,2,51,1996,2,3.5,0.7071067811865476,train,"['Comedy', 'Drama', 'Romance']",Mighty Aphrodite,1.0,15000000.0,Sweetland Films,USA,Woody Allen,6700000.0,R,95.0,7.1,Woody Allen,33697.0,Woody Allen,Comedy,6700000.0,137936496.0,42040407.0,127173027.0
53,3,52,1996,2505,3.6634730538922162,0.8890772634388266,train,"['Adventure', 'Drama']",Lamerica,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
54,3,53,1996,29,3.5517241379310347,1.088452600731611,train,"['Children', 'Comedy']","Big Green, The",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
55,1,54,1996,432,3.0509259259259265,1.0780230570065077,train,['Drama'],Georgia,0.0,0.0,CiBy 2000,USA,Ulu Grosbard,1110104.0,R,115.0,6.5,Jennifer Jason Leigh,2530.0,Barbara Turner,Drama,60929331.0,1110104.0,5098051.0,1110104.0
56,1,55,1996,259,3.4092664092664093,0.9413370019454405,train,"['Adventure', 'Children', 'Comedy', 'Fantasy']",Kids of the Round Table,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
57,2,56,1996,3,3.0,1.0,train,['Drama'],Home for the Holidays,,20000000.0,Paramount Pictures,USA,Jodie Foster,17518220.0,PG-13,103.0,6.6,Holly Hunter,9567.0,Chris Radant,Comedy,4303158120.0,42529116.0,58323110.0,17518220.0
58,3,57,1996,1121,3.3398751115075824,0.8951793428232748,train,"['Comedy', 'Drama', 'Romance']","Postman, The (Postino, Il)",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
59,3,58,1996,2907,4.176814585483316,0.916529651015821,train,"['Drama', 'Mystery']","Confessional, The (Confessionnal, Le)",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
60,3,59,1996,37,3.6216216216216215,1.1631220283585264,train,"['Adventure', 'Children', 'Fantasy']","Indian in the Cupboard, The",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
61,1,60,1996,2135,3.4023419203747074,0.9334430753302374,train,"['Drama', 'Thriller']",Eye for an Eye,,20000000.0,Paramount Pictures,USA,John Schlesinger,26792700.0,R,101.0,6.1,Sally Field,10968.0,Erika Holzer,Crime,4303158120.0,48688848.0,78023244.0,0.0
62,1,61,1996,650,3.3861538461538463,0.9727214572043106,train,['Drama'],Mr. Holland's Opus,0.0,23000000.0,Hollywood Pictures,USA,Stephen Herek,82569971.0,PG,143.0,7.3,Richard Dreyfuss,31602.0,Patrick Sheane Duncan,Drama,1047027227.0,266069673.0,281456311.0,92596880.0
63,3,62,1996,6982,3.987825837868805,0.9382881452369388,train,"['Comedy', 'Crime']",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,3800000.0,Island Pictures,USA,Paris Barclay,20109115.0,R,89.0,6.6,Shawn Wayans,40789.0,Shawn Wayans,Comedy,7368195.0,0.0,0.0,0.0
64,1,63,1996,276,3.1304347826086962,1.2552498452153038,train,"['Comedy', 'Romance']",Two if by Sea,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
65,1,64,1996,628,3.0525477707006368,0.8815546687970954,train,['Comedy'],Bio-Dome,,15000000.0,Motion Picture Corporation of America (MPCA),USA,Jason Bloom,26757000.0,PG-13,88.0,4.4,Pauly Shore,22728.0,Adam Leff,Comedy,14815000.0,0.0,82327560.0,4350774.0
66,1,65,1996,772,2.7357512953367875,1.2350760276585786,train,"['Action', 'Sci-Fi', 'Thriller']",Lawnmower Man 2: Beyond Cyberspace,,15000000.0,New Line Cinema,USA,Farhad Mann,2409225.0,PG-13,93.0,2.4,Patrick Bergin,8315.0,Farhad Mann,Action,842844764.0,0.0,4011793.0,0.0
67,1,66,1996,570,2.543859649122807,1.133763278568837,train,['Drama'],Two Bits,,0.0,Miramax,USA,James Foley,26282.0,PG-13,85.0,6.3,Al Pacino,2903.0,Joseph Stefano,Drama,156035300.0,23082133.0,327043367.0,26282.0
68,1,67,1996,57,3.6140350877192975,1.3059532091392678,train,"['Comedy', 'Romance']",French Twist (Gazon maudit),,,,,,,,,,,,,,0.0,0.0,0.0,0.0
69,3,68,1996,372,3.599462365591398,0.8952102140954404,train,['Comedy'],Friday,,3500000.0,New Line Cinema,USA,F. Gary Gray,27467564.0,R,91.0,7.3,Ice Cube,82224.0,Ice Cube,Comedy,842844764.0,27467564.0,27467564.0,27467564.0
70,3,69,1996,484,3.4855371900826446,1.0718482714640796,train,"['Action', 'Comedy', 'Horror', 'Thriller']",From Dusk Till Dawn,,19000000.0,Dimension Films,USA,Robert Rodriguez,25753840.0,R,108.0,7.3,Harvey Keitel,236890.0,Robert Kurtzman,Action,8332431.0,27666030.0,27612780.0,0.0
71,4,70,1996,1015,3.5300492610837435,1.064411523360245,train,['Action'],Fair Game,,50000000.0,Warner Bros.,USA,Andrew Sipes,11534477.0,R,91.0,4.1,William Baldwin,10655.0,Paula Gosling,Action,4068025902.0,11534477.0,17029984.0,60576701.0
72,4,70,1996,1015,3.5300492610837435,1.064411523360245,train,['Action'],Fair Game,,22000000.0,River Road Entertainment,USA,Doug Liman,9528092.0,PG-13,108.0,6.8,Naomi Watts,40837.0,Jez Butterworth,Biography,0.0,0.0,0.0,0.0
73,1,71,1996,542,2.802583025830258,1.022732724161982,train,"['Comedy', 'Drama']",Kicking and Screaming,,0.0,Trimark Pictures,USA,Noah Baumbach,704543.0,R,96.0,7.0,Josh Hamilton,7594.0,Noah Baumbach,Comedy,13827387.0,704543.0,704543.0,704543.0
74,3,72,1996,186,3.5215053763440864,0.9765188543719532,train,"['Drama', 'War']","Misérables, Les",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
75,3,73,1996,591,4.047377326565144,1.019033635658651,train,"['Drama', 'Romance']",Bed of Roses,,0.0,Juno Pix,USA,Michael Goldenberg,19030691.0,PG,87.0,6.1,Christian Slater,7141.0,Michael Goldenberg,Romance,532933.0,0.0,104271347.0,0.0
76,1,74,1996,1017,3.517207472959685,0.9760663809106932,train,"['Comedy', 'Drama']",Big Bully,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
77,1,75,1996,98,2.795918367346939,1.2348812178235562,train,"['Action', 'Sci-Fi', 'Thriller']",Screamers,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
78,1,76,1996,748,3.077540106951872,0.9922744914561872,train,['Documentary'],Nico Icon,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
79,3,77,1996,27,3.3703703703703702,1.0794638322992416,train,"['Action', 'Crime', 'Drama', 'Thriller']","Crossing Guard, The",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
80,3,78,1996,268,3.138059701492537,0.8823950023898636,train,"['Drama', 'Thriller']","Juror, The",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
81,1,79,1996,1732,3.3060046189376444,0.9619621628482156,train,"['Children', 'Drama']","White Balloon, The (Badkonake sefid)",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
82,3,80,1996,50,3.66,0.9606545387688245,train,"['Crime', 'Drama', 'Romance']",Things to Do in Denver When You're Dead,,7000000.0,Miramax,USA,Gary Fleder,529766.0,R,115.0,6.8,Andy Garcia,23358.0,Scott Rosenberg,Crime,156035300.0,529766.0,11920245.0,529766.0
83,1,81,1996,512,3.41015625,0.9424405045925572,train,"['Comedy', 'Drama']",Antonia's Line (Antonia),,,,,,,,,,,,,,0.0,0.0,0.0,0.0
84,3,82,1996,607,4.128500823723228,0.9173582171631104,train,"['Drama', 'Romance']",Once Upon a Time... When We Were Colored,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
85,3,83,1996,158,3.791139240506329,0.9778033190816356,train,"['Comedy', 'Drama']",Last Summer in the Hamptons,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
86,3,84,1996,8,3.875,0.6408699444616557,train,"['Drama', 'Romance']",Angels and Insects,0.0,0.0,Playhouse International Pictures,UK,Philip Haas,5304000.0,R,116.0,7.0,Mark Rylance,4083.0,A.S. Byatt,Drama,5304000.0,5304000.0,5304000.0,5304000.0
87,3,85,1996,653,3.565084226646248,1.01860297717196,train,"['Action', 'Adventure', 'Drama']",White Squall,,38000000.0,Hollywood Pictures,USA,Ridley Scott,10300000.0,PG-13,129.0,6.6,Jeff Bridges,18875.0,Charles Gieg Jr.,Adventure,1047027227.0,109043003.0,146655373.0,0.0
88,3,86,1996,694,3.5763688760806915,0.8904272444096163,train,"['Children', 'Comedy']",Dunston Checks In,,0.0,Joe Wizan/Todd Black,USA,Ken Kwapis,9871065.0,PG,88.0,5.3,Jason Alexander,10371.0,John Hopkins,Comedy,0.0,11688586.0,0.0,0.0
89,1,87,1996,267,2.8988764044943816,1.0730282895761099,train,['Comedy'],Black Sheep,0.0,0.0,Broadway Pictures,USA,Penelope Spheeris,32377000.0,PG-13,87.0,6.2,Chris Farley,31582.0,Fred Wolf,Comedy,42679683.0,217491686.0,32700000.0,0.0
90,1,87,1996,267,2.8988764044943816,1.0730282895761099,train,['Comedy'],Black Sheep,0.0,0.0,New Zealand Film Commission,New Zealand,Jonathan King,82987.0,NOT RATED,87.0,5.8,Oliver Driver,36120.0,Jonathan King,Comedy,0.0,0.0,0.0,0.0
91,1,88,1996,583,3.123499142367067,1.0230236681947045,train,"['Action', 'Thriller']",Nick of Time,,33000000.0,Paramount Pictures,USA,John Badham,8169363.0,R,90.0,6.3,Johnny Depp,34436.0,Patrick Sheane Duncan,Action,4303158120.0,290383080.0,134353419.0,92596880.0
92,1,89,1996,936,3.2809829059829063,0.8383211487076916,train,['Drama'],The Journey of August King,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
93,1,90,1996,71,3.422535211267605,1.2610876465630303,train,"['Drama', 'Horror', 'Thriller']",Mary Reilly,,47000000.0,NFH Productions,USA,Stephen Frears,5600000.0,R,108.0,5.8,Julia Roberts,12455.0,Valerie Martin,Drama,0.0,70505193.0,286928399.0,0.0
94,1,92,1996,590,3.0101694915254242,0.9802281213399338,train,"['Comedy', 'Drama', 'Romance']",Beautiful Girls,,0.0,Miramax,USA,Ted Demme,10597759.0,R,112.0,7.2,Matt Dillon,27842.0,Scott Rosenberg,Comedy,156035300.0,22738923.0,27449506.0,529766.0
95,1,93,1996,906,2.8388520971302427,1.0258926344591748,train,"['Action', 'Adventure', 'Thriller']",Broken Arrow,0.0,50000000.0,Twentieth Century Fox Film Corporation,USA,John Woo,70770147.0,R,108.0,6.0,John Travolta,81083.0,Graham Yost,Action,2345456452.0,32589677.0,313324314.0,121248145.0
96,3,94,1996,713,3.5553997194950915,0.8932186080987423,train,"['Comedy', 'Drama']",In the Bleak Midwinter,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
97,1,95,1996,7894,3.375475044337472,0.9118705579348684,train,"['Crime', 'Drama']","Hate (Haine, La)",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
98,3,96,1996,162,3.6666666666666665,1.003100782635635,train,"['Action', 'Thriller']",Shopping,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
99,4,97,1996,151,3.95364238410596,1.0413948872825705,train,['Documentary'],Heidi Fleiss: Hollywood Madam,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
100,1,98,1996,10,3.1,1.286683937707919,train,"['Drama', 'Thriller']",City Hall,,40000000.0,Castle Rock Entertainment,USA,Harold Becker,20200000.0,R,111.0,6.2,Al Pacino,17531.0,Ken Lipper,Drama,607375331.0,105401139.0,327043367.0,0.0
101,1,99,1996,192,2.9322916666666665,1.282422020667337,train,"['Adventure', 'Comedy', 'Crime', 'Romance']",Bottle Rocket,,7000000.0,Columbia Pictures Corporation,USA,Wes Anderson,560069.0,R,91.0,7.1,Luke Wilson,58644.0,Owen Wilson,Comedy,2122049989.0,0.0,0.0,0.0
102,1,100,1996,1333,3.3330832708177045,0.7544219132825781,train,['Comedy'],Mr. Wrong,,0.0,Mandeville Films,USA,Nick Castle,12350030.0,PG-13,96.0,3.8,Ellen DeGeneres,4465.0,Chris Matheson,Comedy,0.0,96974948.0,0.0,80557022.0
103,4,101,1996,194,3.6288659793814433,1.0413182919041701,train,"['Mystery', 'Sci-Fi', 'Thriller']",Unforgettable,,18000000.0,Dino De Laurentiis Company,USA,John Dahl,2780278.0,R,117.0,6.0,Ray Liotta,4227.0,Bill Geddie,Drama,27521314.0,8924730.0,41875979.0,0.0
104,1,102,1996,617,2.653160453808752,1.0719083730672796,train,['Comedy'],Happy Gilmore,,12000000.0,Universal Pictures,USA,Dennis Dugan,38624000.0,PG-13,92.0,7.0,Adam Sandler,166846.0,Tim Herlihy,Comedy,3501692853.0,54389139.0,25588750.0,25588750.0
105,1,103,1996,401,3.4214463840399003,0.9562629882742204,train,"['Drama', 'Romance']","Bridges of Madison County, The",,,,,,,,,,,,,,0.0,0.0,0.0,0.0
106,3,104,1996,2328,3.5012886597938144,1.1074611464121311,train,"['Comedy', 'Drama']",Nobody Loves Me (Keiner liebt mich),,,,,,,,,,,,,,0.0,0.0,0.0,0.0
107,3,105,1996,3847,3.5879906420587466,1.0322371646743669,train,"['Adventure', 'Children', 'Comedy', 'Musical']",Muppet Treasure Island,,0.0,"Jim Henson Company, The",USA,Brian Henson,33609000.0,G,99.0,6.9,Tim Curry,17264.0,Robert Louis Stevenson,Action,0.0,27281507.0,0.0,0.0
108,3,106,1996,8,3.875,1.457737973711325,train,['Documentary'],Catwalk,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
109,1,107,1996,1216,3.3889802631578947,0.9510714492969232,train,"['Comedy', 'Drama', 'Thriller']",Headless Body in Topless Bar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
